,0,1,2,3,4
0,2075,3049.0,"""Together, we will build a movement that sweeps Donald Trump out of the White House and transforms this country so that it works for the working class.""",['Donald Trump'],White House
0,2079,3050.0,"""Together, we will build a movement that sweeps Donald Trump out of the White House and transforms this country so that it works for the working class.""",['Donald Trump'],White House
0,2087,3061.0,"""The Fed-led pivot reflects the global spread of the virus and its economic disruptions, sharp equity market weakness and an emerging realization that corporate cash flow problems could create strains in credit markets,""",['Krishna Guha'],Court of Federal Claims
0,2093,3074.0,""" Mr. Biden said on CNN’s """,['Biden'],White House
0,2097,3075.0,""" Mr. Biden said on CNN’s """,['Biden'],White House
0,2101,3077.0,""" Mr. Biden said on CNN’s """,['Biden'],White House
0,2108,3079.0,"""The top line is that the Trump administration gets called out for its own hubris.""",['Trump'],Senate
0,2117,3090.0,""" Mr. Biden said on CNN’s """,['Biden'],White House
0,2121,3092.0,"""We had an office in the White House,""",['Biden'],White House
0,2122,3092.0,"""State of the Union,""",['Biden'],White House
0,2125,3092.0,""" on CBS on Sunday morning, Senator Bernie Sanders of Vermont was asked to respond to remarks by Danny Danon, Israel’s ambassador to the United Nations, that Mr. Sanders was an """,['Danny Danon' 'Bernie Sanders' 'William Lamb'],U.S. Mission to the United Nations
0,2126,3092.0,"""I always thought that as we got closer to the election, more and more people would focus on the Senate, and that is what is happening,""",['Chuck Schumer'],Senate
0,2128,3093.0,"""We had an office in the White House,""",['Biden'],White House
0,2129,3093.0,"""State of the Union,""",['Biden'],White House
0,2132,3093.0,""" on CBS on Sunday morning, Senator Bernie Sanders of Vermont was asked to respond to remarks by Danny Danon, Israel’s ambassador to the United Nations, that Mr. Sanders was an """,['Danny Danon' 'Bernie Sanders' 'William Lamb'],U.S. Mission to the United Nations
0,2133,3093.0,"""I always thought that as we got closer to the election, more and more people would focus on the Senate, and that is what is happening,""",['Chuck Schumer'],Senate
